1	4	3	4	33	0	0
1	4	4	5	32	176	0
1	4	5	6	31	180	0
1	4	6	7	30	184	0
1	4	7	8	29	188	0
1	4	8	9	28	192	0
1	4	9	10	27	196	0
1	4	10	11	26	200	0
1	4	11	12	25	204	0
1	4	12	0        0       0	0
1	4	13	13	24	208	0
1	4	14	14	23	212	0
1	4	15	15	22	216	0
1	4	16	16	21	220	0
1	4	17	17	20	224	0
1	4	18	18	19	228	0
1	4	19	19	18	232	0
1	4	20	20	17	236	0
1	4	21	21	16	240	0
1	4	22	22	15	244	0
1	4	23	23	14	248	0
1	4	24	24	13	252	0
1	4	25	0        0       0	0
1	4	26	25	12	256	0
1	4	27	26	11	260	0
1	4	28	27	10	264	0
1	4	29	28	9	268	0
1	4	30	29	8	272	0
1	4	31	30	7	276	0
1	4	32	31	6	280	0
1	4	33	32	5	284	0
1	4	34	33	4	288	0
1	4	35	34	3	292	0
1	4	36	35	2	296	0
1	4	37	36	1	300	0
1	4	38	37	120	298	0
1	4	39	38	119	294	0
1	4	40	39	118	290	0
1	4	41	40	117	286	0
1	4	42	41	116	282	0
1	4	43	42	115	278	0
1	4	44	43	114	274	0
1	4	45	44	113	270	0
1	4	46	45	112	266	0
1	4	47	46	111	262	0
1	4	48	47	110	258	0
1	4	49	48	109	254	0
1	4	50	0      0     0			0
1	4	51	49	108	250	0
1	4	52	50	107	246	0
1	4	53	51	106	242	0
1	4	54	52	105	238	0
1	4	55	53	104	234	0
1	4	56	54	103	230	0
1	4	57	55	102	226	0
1	4	58	56	101	222	0
1	4	59	57	100	218	0
1	4	60	58	99	214	0
1	4	61	59	98	210	0
1	4	62	60	97	206	0
1	4	63	0      0     0			0
1	4	64	61	96	202	0
1	4	65	62	95	198	0
1	4	66	63	94	194	0
1	4	67	64	93	190	0
1	4	68	65	92	186	0
1	4	69	66	91	182	0
1	4	70	67	90	178	0
1	4	71	68	89	174	0
1	4	72	69	88	0	0
1	4	73	70	87	0	0
1	4	74	71	86	0	0
1	4	75	72	85	0	0
