PadPlaneSubDivision 84 84 1 1 -42 -42
91 0 0 6.51 0.45 0 78 76 77 89 90 86 84 85 
90 0 0 6.51 0.55 0 76 77 72 91 95 84 85 80 
95 0 0 6.51 0.65 0 77 72 73 90 94 85 80 81 
94 0 0 6.51 0.75 0 72 73 95 80 81 
83 0 0 7.13 0.05 0 92 93 82 100 101 
82 0 0 7.13 0.15 0 92 93 88 83 87 100 101 96 
87 0 0 7.13 0.25 0 93 88 89 82 86 101 96 97 
86 0 0 7.13 0.35 0 88 89 91 87 84 96 97 99 
84 0 0 7.13 0.45 0 89 91 90 86 85 97 99 98 
85 0 0 7.13 0.55 0 91 90 95 84 80 99 98 103 
80 0 0 7.13 0.65 0 90 95 94 85 81 98 103 102 
81 0 0 7.13 0.75 0 95 94 80 103 102 
100 0 0 7.75 0.05 0 83 82 101 107 106 
101 0 0 7.75 0.15 0 83 82 87 100 96 107 106 111 
96 0 0 7.75 0.25 0 82 87 86 101 97 106 111 110 
97 0 0 7.75 0.35 0 87 86 84 96 99 111 110 108 
99 0 0 7.75 0.45 0 86 84 85 97 98 110 108 109 
98 0 0 7.75 0.55 0 84 85 80 99 103 108 109 104 
103 0 0 7.75 0.65 0 85 80 81 98 102 109 104 105 
102 0 0 7.75 0.75 0 80 81 103 104 105 
107 0 0 8.37 0.05 0 100 101 106 124 125 
106 0 0 8.37 0.15 0 100 101 96 107 111 124 125 120 
111 0 0 8.37 0.25 0 101 96 97 106 110 125 120 121 
110 0 0 8.37 0.35 0 96 97 99 111 108 120 121 123 
108 0 0 8.37 0.45 0 97 99 98 110 109 121 123 122 
109 0 0 8.37 0.55 0 99 98 103 108 104 123 122 127 
104 0 0 8.37 0.65 0 98 103 102 109 105 122 127 126 
105 0 0 8.37 0.75 0 103 102 104 127 126 
124 0 0 8.99 0.05 0 107 106 125 115 114 
125 0 0 8.99 0.15 0 107 106 111 124 120 115 114 119 
120 0 0 8.99 0.25 0 106 111 110 125 121 114 119 118 
121 0 0 8.99 0.35 0 111 110 108 120 123 119 118 116 
123 0 0 8.99 0.45 0 110 108 109 121 122 118 116 117 
122 0 0 8.99 0.55 0 108 109 104 123 127 116 117 112 
127 0 0 8.99 0.65 0 109 104 105 122 126 117 112 113 
126 0 0 8.99 0.75 0 104 105 127 112 113 
115 0 0 9.61 0.05 0 124 125 114 
114 0 0 9.61 0.15 0 124 125 120 115 119 
119 0 0 9.61 0.25 0 125 120 121 114 118 
118 0 0 9.61 0.35 0 120 121 123 119 116 
116 0 0 9.61 0.45 0 121 123 122 118 117 
117 0 0 9.61 0.55 0 123 122 127 116 112 
112 0 0 9.61 0.65 0 122 127 126 117 113 
113 0 0 9.61 0.75 0 127 126 112 
